site,depth,bank,id,cd,cw,l1s,l4s,t1c,th,ch,cs
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-09,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,06-V-16-2-10,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,07-VII-15-1-01,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-1-03,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-1-05,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-01,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-02,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-04,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-05,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-2-06,,,,,,,,
McGrail,mesophotic,mcgrail.mesophotic,08-VII-15-3-02,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR131,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR132,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR135,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR143,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR144,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR145,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR146,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR147,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR148,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR149,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR152,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR159,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR160,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR161,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR162,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR163,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR164,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR165,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR166,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR167,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR168,,,,,,,,
Pulley Ridge,mesophotic,pulley.mesophotic,PR169,,,,,,,,
